,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,TD,10:26,Django Anoa'i 14 yd pass from Easton Cole. (Alfredo Crisco kick),0,7
2,1,FG,7:38,34 yd FG by Alfredo Crisco,0,10
4,2,FG,11:58,44 yd FG by Alfredo Crisco,0,13
5,2,TD,8:24,Charles Allan (R) 3 yd run. (Alex Dasistwirklichseinnachname kick),7,13
6,2,FG,3:16,36 yd FG by Alfredo Crisco,7,16
8,3,TD,8:48,Johnny Blaze 7 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),14,16
9,3,TD,1:53,Franklin Armstrong 25 yd run. (Alex Dasistwirklichseinnachname kick),21,16
11,4,TD,13:50,Mako Mendonca 3 yd run. (2pt conversion failed),21,22
12,4,TD,6:38,Mako Mendonca 4 yd pass from Easton Cole. (Alfredo Crisco kick),21,29
13,4,TD,6:20,Apollo Reed 99 yd kickoff return. (2pt conversion good),29,29
14,4,FG,0:50,40 yd FG by Alfredo Crisco,29,32
