Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Cash Jr., S.",BER,5,60,12,25,1,15,25
"Matthews, D.",BER,4,40,10,16,0,15,25
"Boyd, C.",BER,4,31,7.8,11,0,15,25
"Skiuuup, C.",BER,3,13,4.3,7,1,15,25
"Cooper, T.",BER,2,19,9.5,16,0,15,25
"Petrongolo, J.",BER,2,14,7,11,0,15,25
"Vuxta, R.",PHI,6,136,22.7,45,0,15,25
"Blocksdale Jr., A.",PHI,4,71,17.8,44,0,15,25
"Dotson, F.",PHI,4,62,15.5,37,1,15,25
"Panda, F.",PHI,4,60,15,37,2,15,25
"Chambers, K.",PHI,2,17,8.5,9,0,15,25
"Arrabiata, D.",PHI,2,10,5,7,0,15,25
"Torenson, S.",PHI,2,7,3.5,7,0,15,25
