Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Steel, H.",BER,2,10,0,0,15,25
"Dolls, B.",BER,0,0,7,0,15,25
"Boyd, C.",BER,0,0,5,0,15,25
"Wall, D.",BER,0,0,5,0,15,25
"Wall, G.",BER,0,0,4,0,15,25
"Wall, J.",BER,0,0,4,0,15,25
"McCabe, J.",BER,0,0,3,0,15,25
"Petrongolo, J.",BER,0,0,2,0,15,25
"Skiuuup, C.",BER,0,0,1,0,15,25
"Tremblay, S.",PHI,1,15,8,0,15,25
"Van Buren, M.",PHI,1,9,5,0,15,25
"D'Attoria V, R.",PHI,1,15,0,0,15,25
"Gronlie, T.",PHI,1,15,0,0,15,25
"Suzuki, S.",PHI,1,6,0,0,15,25
"Elephant, M.",PHI,0,0,6,0,15,25
"Blocksdale Jr., A.",PHI,0,0,3,0,15,25
"Fillmore, M.",PHI,0,0,2,0,15,25
"Hayes, R.",PHI,0,0,2,0,15,25
"Torenson, S.",PHI,0,0,1,0,15,25
"Dotson, F.",PHI,0,0,0,1,15,25
