Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Thorbjornsson, G.",AZ,1,5,2,0,6,26
"Donut, S.",AZ,1,5,0,0,6,26
"Cone, T.",AZ,0,0,3,0,6,26
"Golladay, C.",AZ,0,0,3,0,6,26
"Style, T.",AZ,0,0,3,0,6,26
"Pancakes, B.",AZ,0,0,2,0,6,26
"Raccoon, R.",AZ,0,0,2,0,6,26
"Cadaire, M.",AZ,0,0,1,0,6,26
"Pama, D.",AZ,0,0,1,0,6,26
"Smith, J.",SAR,2,20,3,0,6,26
"Doe, B.",SAR,1,5,9,0,6,26
"Angler, J.",SAR,1,5,0,0,6,26
"Beat, N.",SAR,1,5,0,0,6,26
"J'Vathon, T.",SAR,1,10,0,0,6,26
"Stallworth, C.",SAR,0,0,6,0,6,26
"Woakneoa, S.",SAR,0,0,6,0,6,26
"Manclaw, C.",SAR,0,0,2,0,6,26
"Pennington Jr., T.",SAR,0,0,2,0,6,26
"Back, R.",SAR,0,0,1,0,6,26
"Chan, R.",SAR,0,0,1,0,6,26
