,Q,Score Type,Time Remaining,Play,AZ,BAL
1,1,FG,10:06,21 yd FG by Dean Jackson,3,0
2,1,TD,5:10,Marquise Brown 8 yd run. (Alex Frost kick),3,7
3,1,FG,1:54,57 yd FG by Alex Frost,3,10
4,1,TD,0:08,Vinny Valentine 38 yd pass from Childish Gambino. (Alex Frost kick),3,17
6,2,TD,14:48,Marquise Brown 5 yd run. (Alex Frost kick),3,24
7,2,FG,11:03,42 yd FG by Dean Jackson,6,24
8,2,FG,7:57,56 yd FG by Alex Frost,6,27
9,2,TD,4:23,Slim Shady 4 yd run. (Dean Jackson kick),13,27
10,2,FG,0:01,50 yd FG by Dean Jackson,16,27
12,3,TD,11:44,Viggo Squanch 5 yd pass from Childish Gambino. (Alex Frost kick),16,34
14,4,FG,11:01,42 yd FG by Dean Jackson,19,34
15,4,TD,4:56,Vinny Valentine 7 yd pass from Childish Gambino. (Alex Frost kick),19,41
16,4,SF,4:22,Andrew Reese tackled for a safety.,19,43
