Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Tweed, B.",YKW,8,0,3,0,0,0,0,0,0,0,0,0,14,9
"Hendrix, M.",YKW,7,0,1,0,0,0,0,0,0,0,0,0,14,9
"Hardrool, C.",YKW,6,0,0,0,0,0,0,0,0,0,0,0,14,9
"Lavelle, D.",YKW,6,0,0,4,2,0,0,0,0,0,0,0,14,9
"Taylor, C.",YKW,4,0,1,0,0,0,0,0,0,0,0,0,14,9
"Rodriguez, G.",YKW,3,0,1,0,0,0,0,0,0,0,0,0,14,9
"Maddox, R.",YKW,3,2,1,0,0,0,0,0,0,0,0,0,14,9
"Pennington, C.",YKW,3,0,1,0,0,0,0,0,0,0,0,0,14,9
"Skinner, Z.",YKW,3,0,3,0,0,0,0,0,0,0,0,0,14,9
"Stone, W.",YKW,3,0,1,0,0,0,0,0,0,0,0,0,14,9
"Zhang, S.",YKW,3,0,0,1,0,0,0,0,0,0,0,0,14,9
"Brown, J.",YKW,2,0,1,0,0,0,0,0,0,0,0,0,14,9
"Bagwell, N.",PHI,8,0,0,0,0,0,0,0,0,0,0,0,14,9
"Hayden, A.",PHI,8,0,0,2,1,0,0,0,0,0,0,0,14,9
"Wright, J.",PHI,8,1,0,1,0,0,0,0,0,0,0,0,14,9
"Verns, D.",PHI,7,0,0,1,1,0,1,0,0,0,0,0,14,9
"Lee, J.",PHI,6,0,0,0,0,0,0,0,0,0,0,0,14,9
"David, M.",PHI,4,0,0,0,0,0,0,0,0,0,0,0,14,9
"Kyubee, S.",PHI,3,0,0,0,0,0,0,0,0,0,0,0,14,9
"Tucker, P.",PHI,3,0,0,0,0,0,0,0,0,0,0,0,14,9
"Davidson, D.",PHI,2,0,1,0,0,0,0,0,0,0,0,0,14,9
"Flock, R.",PHI,1,0,0,0,0,0,0,0,0,0,0,0,14,9
