,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,FG,12:41,28 yd FG by Dougie Smalls,3,0
2,1,TD,2:15,Ashley Owens 2 yd run. (Silver Banana kick),3,7
4,2,FG,12:40,30 yd FG by Dougie Smalls,6,7
5,2,FG,9:29,42 yd FG by Dougie Smalls,9,7
6,2,TD,7:49,Louisiana Purchase 59 yd interception return. (Silver Banana kick),9,14
7,2,TD,1:21,Wolfie McDummy 14 yd run. (Silver Banana kick),9,21
9,3,FG,9:06,44 yd FG by Dougie Smalls,12,21
10,3,FG,4:13,20 yd FG by Silver Banana,12,24
11,3,TD,0:17,James Bishop 21 yd pass from Wolfie McDummy. (Silver Banana kick),12,31
13,4,FG,3:02,30 yd FG by Silver Banana,12,34
