,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,9:53,Kazimir Oles 10 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,8:42,Johnny Blaze 8 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),14,0
3,1,TD,1:46,Johnny Blaze 59 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),21,0
5,2,TD,5:13,Willie B. Hardagain (R) 14 yd pass from Jay Cue (R). (Diego Espinosa (R) kick),21,7
6,2,FG,0:05,47 yd FG by Alex Dasistwirklichseinnachname,24,7
8,3,FG,10:57,47 yd FG by Alex Dasistwirklichseinnachname,27,7
9,3,FG,3:20,27 yd FG by Alex Dasistwirklichseinnachname,30,7
11,4,FG,14:31,27 yd FG by Diego Espinosa (R),30,10
12,4,SF,10:14,Jay Cue (R) tackled for a safety.,32,10
13,4,TD,8:09,Franklin Armstrong 15 yd run. (Alex Dasistwirklichseinnachname kick),39,10
14,4,TD,7:50,Saba Donut 108 yd kickoff return. (Diego Espinosa (R) kick),39,17
15,4,TD,1:42,Hugh Mongo 2 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),46,17
