,Q,Score Type,Time Remaining,Play,CHI,PHI
1,1,FG,10:38,20 yd FG by Lefty Louis (R),0,3
2,1,FG,8:33,30 yd FG by Lefty Louis (R),0,6
3,1,TD,2:00,Sam Torenson 5 yd run. (Lefty Louis (R) kick),0,13
5,2,TD,9:59,Sam Torenson 5 yd run. (Lefty Louis (R) kick),0,20
6,2,TD,6:13,Sean O'Leary 6 yd pass from Rose Jenkins. (Sam Sidekick (R) kick),7,20
7,2,TD,2:12,Flash Panda (R) 11 yd pass from Brock Phoenix. (Lefty Louis (R) kick),7,27
9,3,FG,7:41,19 yd FG by Sam Sidekick (R),10,27
10,3,TD,3:20,Randy Vuxta 32 yd pass from Brock Phoenix. (Lefty Louis (R) kick),10,34
11,3,TD,2:22,Sam Torenson 1 yd run. (Lefty Louis (R) kick),10,41
13,4,TD,14:43,Fuzzy Dotson 8 yd run. (Lefty Louis (R) kick),10,48
14,4,FG,0:45,37 yd FG by Lefty Louis (R),10,51
