,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,FG,9:49,26 yd FG by Herbert Prohaska,3,0
2,1,TD,5:59,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),3,7
3,1,FG,1:49,38 yd FG by Alex Dasistwirklichseinnachname,3,10
5,2,FG,8:02,39 yd FG by Alex Dasistwirklichseinnachname,3,13
6,2,FG,3:57,29 yd FG by Herbert Prohaska,6,13
7,2,FG,0:05,48 yd FG by Herbert Prohaska,9,13
9,3,TD,7:04,Marcella Toriki 1 yd run. (Herbert Prohaska kick),16,13
10,3,FG,0:33,33 yd FG by Alex Dasistwirklichseinnachname,16,16
12,4,TD,6:19,Dexter Banks II 6 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),16,23
13,4,FG,2:23,47 yd FG by Alex Dasistwirklichseinnachname,16,26
