,Q,Score Type,Time Remaining,Play,SJS,PHI
1,1,FG,11:04,31 yd FG by Kulture Fulture,0,3
2,1,FG,7:07,30 yd FG by Neo Donaldson,3,3
3,1,TD,3:49,Marquise Brown 19 yd pass from Adriana Falconi. (Kulture Fulture kick),3,10
5,2,TD,13:14,Marquise Brown 1 yd run. (Kulture Fulture kick),3,17
6,2,TD,11:56,LaMarcus Strike 1 yd run. (Kulture Fulture kick),3,24
7,2,TD,6:31,Xavier Flash 9 yd pass from Joliet L. Christ. (Neo Donaldson kick),10,24
8,2,TD,2:20,Jerrod Canton 1 yd run. (Neo Donaldson kick),17,24
10,3,FG,12:50,39 yd FG by Kulture Fulture,17,27
11,3,TD,7:09,Chris Orosz 2 yd run. (Neo Donaldson kick),24,27
12,3,TD,0:22,Ty Justice 5 yd pass from Joliet L. Christ. (Neo Donaldson kick),31,27
14,4,TD,10:47,Marquise Brown 5 yd run. (Kulture Fulture kick),31,34
15,4,TD,2:18,Kazimir Oles 4 yd pass from Joliet L. Christ. (Neo Donaldson kick),38,34
