Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Tackle, R.",COL,1,5,6,0,13,13
"Guard, L.",COL,1,5,4,0,13,13
"Tackle, L.",COL,1,5,3,0,13,13
"Marrett, O.",COL,1,10,0,0,13,13
"L'Alto, V.",COL,0,0,4,0,13,13
"Centre, S.",COL,0,0,2,0,13,13
"Grau, M.",COL,0,0,2,0,13,13
"Chipmunk, A.",COL,0,0,1,0,13,13
"Guard, R.",COL,0,0,1,0,13,13
"Hobbs, S.",AZ,1,5,0,0,13,13
"Squanch, V.",AZ,1,5,0,0,13,13
"Robotman, B.",AZ,0,0,3,0,13,13
"Shady, S.",AZ,0,0,2,1,13,13
"Robotman, C.",AZ,0,0,2,0,13,13
"Robotman, A.",AZ,0,0,1,0,13,13
"Robotman, D.",AZ,0,0,1,0,13,13
"Robotman, E.",AZ,0,0,1,0,13,13
