,Q,Score Type,Time Remaining,Play,AZ,COL
1,1,TD,11:14,ShaDarrien LaMelllana 15 yd pass from Micycle McCormick. (Kyle Corbett kick),0,7
3,2,TD,11:59,Howard Miller 25 yd pass from Micycle McCormick. (Kyle Corbett kick),0,14
4,2,TD,3:49,Slim Shady 5 yd run. (Dean Jackson kick),7,14
6,3,TD,5:05,Micycle McCormick 49 yd run. (Kyle Corbett kick),7,21
7,3,TD,3:47,Verso L'Alto 7 yd pass from Micycle McCormick. (Kyle Corbett kick),7,28
9,4,FG,13:43,36 yd FG by Kyle Corbett,7,31
10,4,TD,8:37,Trey Willie 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,31
11,4,TD,4:05,Devo Cansino 2 yd run. (Kyle Corbett kick),14,38
12,4,TD,3:45,Bucky Barnes 98 yd kickoff return. (Dean Jackson kick),21,38
13,4,FG,0:03,23 yd FG by Kyle Corbett,21,41
