Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Kaepercolin, N.",BAL,5,87,17.4,29,0,6,24
"Lewandowski, J.",BAL,5,34,6.8,11,0,6,24
"Quinn, A.",BAL,4,69,17.2,33,2,6,24
"Williams, D.",BAL,3,10,3.3,7,0,6,24
"Fukushu, M.",BAL,1,13,13,13,0,6,24
"Kross, C.",BAL,1,7,7,7,0,6,24
"Skuff, R.",BAL,1,7,7,7,0,6,24
"Alexander, W.",HON,7,85,12.1,27,0,6,24
"Podolak, J.",HON,6,48,8,18,0,6,24
"Clay, J.",HON,6,40,6.7,17,1,6,24
"Kane-Maika'i, K.",HON,3,24,8,14,0,6,24
"Ayers, N.",HON,2,24,12,14,1,6,24
"Z, D.",HON,1,9,9,9,0,6,24
