,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,FG,5:10,39 yd FG by Dean Jackson,3,0
3,2,TD,14:00,Carlito Crush 11 yd pass from Mike Boss. (Bradley Madlad kick),3,7
4,2,TD,11:31,Jordan Yates 1 yd run. (Bradley Madlad kick),3,14
5,2,TD,9:44,Jordan Yates 2 yd run. (Bradley Madlad kick),3,21
6,2,TD,6:09,Carlito Crush 23 yd pass from Mike Boss. (Bradley Madlad kick),3,28
7,2,FG,1:43,37 yd FG by Dean Jackson,6,28
8,2,FG,0:28,44 yd FG by Dean Jackson,9,28
10,3,TD,13:33,John Wachter 1 yd pass from Kevin (R) Fitzpatrick. (Dean Jackson kick),16,28
11,3,TD,9:55,Jordan Yates 3 yd run. (Bradley Madlad kick),16,35
12,3,TD,7:43,Jordan Yates 1 yd run. (Bradley Madlad kick),16,42
13,3,TD,1:36,Carlito Crush 18 yd pass from Mike Boss. (Bradley Madlad kick),16,49
15,4,FG,9:50,26 yd FG by Bradley Madlad,16,52
16,4,TD,1:37,Marc Spector 8 yd pass from Mike Boss. (Bradley Madlad XP no good),16,58
17,4,TD,0:07,Jaylon Broxton 47 yd interception return. (Bradley Madlad kick),16,65
