,Q,Score Type,Time Remaining,Play,YKW,PHI
1,1,FG,12:34,49 yd FG by Kyle Frost,0,3
2,1,TD,0:31,Fast Boija 33 yd run. (Kyle Frost kick),0,10
4,2,TD,14:39,Tommy Helanen 4 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),7,10
5,2,TD,9:07,Vander Jones 5 yd pass from Adriana Falconi. (Kyle Frost kick),7,17
6,2,FG,0:20,25 yd FG by Kyle Frost,7,20
8,3,TD,12:06,Vander Jones 6 yd pass from Adriana Falconi. (Kyle Frost XP no good),7,26
9,3,FG,7:01,32 yd FG by Stephen Harris Jr,10,26
10,3,TD,5:33,Jerrod Canton 4 yd run. (Stephen Harris Jr kick),17,26
12,4,FG,14:17,38 yd FG by Stephen Harris Jr,20,26
13,4,TD,13:57,Lennox Garnett 101 yd kickoff return. (Kyle Frost kick),20,33
14,4,TD,10:39,Nate Swift 19 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),27,33
15,4,TD,2:49,Jerrod Canton 3 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),34,33
