,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,FG,11:51,31 yd FG by Dean Jackson,3,0
2,1,TD,4:35,Viggo Squanch 10 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),10,0
4,2,TD,13:51,Kazimir Oles 87 yd punt return. (Neo Donaldson kick),10,7
5,2,FG,6:10,23 yd FG by Neo Donaldson,10,10
6,2,TD,1:45,Slim Shady 3 yd run. (Dean Jackson kick),17,10
8,3,TD,10:32,Kazimir Oles 24 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,17
9,3,TD,9:17,Kazimir Oles 15 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,24
10,3,TD,4:17,Xavier Flash 2 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,31
12,4,FG,14:28,45 yd FG by Dean Jackson,20,31
13,4,TD,2:54,Jerrod Canton 2 yd pass from Joliet L. Christ. (Neo Donaldson kick),20,38
