Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Guard, L.",COL,1,5,3,0,7,19
"Tackle, R.",COL,1,10,3,0,7,19
"King, A.",COL,1,5,1,0,7,19
"Parker, P.",COL,1,5,0,0,7,19
"Centre, S.",COL,0,0,4,0,7,19
"Guard, R.",COL,0,0,4,0,7,19
"Tackle, L.",COL,0,0,3,0,7,19
"Owens, A.",COL,0,0,1,1,7,19
"Vincent, M.",COL,0,0,1,0,7,19
"Hank, F.",PHI,2,10,1,1,7,19
"Arthur, C.",PHI,1,10,1,0,7,19
"Dotson, F.",PHI,1,4,1,0,7,19
"Dropson, J.",PHI,1,5,0,0,7,19
"Emoji, E.",PHI,1,5,0,0,7,19
"Falconi, A.",PHI,1,5,0,0,7,19
"McGwire, A.",PHI,1,13,0,0,7,19
"Varga, N.",PHI,1,5,0,0,7,19
"Hayes, R.",PHI,0,0,7,0,7,19
"Fillmore, M.",PHI,0,0,2,0,7,19
"Van Buren, M.",PHI,0,0,2,0,7,19
