,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,TD,12:58,Apollo Reed 15 yd pass from Corvo Havran. (Kulture Fulture kick),7,0
2,1,TD,7:45,Errol Maddox 46 yd pass from Corvo Havran. (Kulture Fulture kick),14,0
3,1,TD,3:26,Errol Maddox 2 yd pass from Corvo Havran. (Kulture Fulture kick),21,0
5,2,FG,12:48,47 yd FG by Venus Powers,21,3
6,2,TD,10:47,Chris Kross (R) 35 yd pass from Corvo Havran. (Kulture Fulture kick),28,3
7,2,FG,8:23,46 yd FG by Venus Powers,28,6
9,3,TD,9:54,Sam Torenson 4 yd run. (Venus Powers kick),28,13
10,3,FG,4:57,37 yd FG by Venus Powers,28,16
11,3,TD,2:41,Randy Vuxta 26 yd pass from Brock Phoenix. (Venus Powers kick),28,23
13,4,TD,8:09,Darrel Williams 3 yd run. (Kulture Fulture kick),35,23
14,4,TD,0:55,Jake Dropson 6 yd pass from Brock Phoenix. (Venus Powers kick),35,30
