,Q,Score Type,Time Remaining,Play,PHI,SJS
1,1,TD,5:55,Shane Weston 12 yd pass from Chris Orosz. (Iyah Blewitt kick),0,7
2,1,TD,2:47,Darren Smallwood 4 yd run. (Iyah Blewitt kick),0,14
4,2,FG,14:38,27 yd FG by Iyah Blewitt,0,17
5,2,FG,10:51,26 yd FG by Stephen Harris,3,17
6,2,TD,5:47,Darren Smallwood 9 yd pass from Chris Orosz. (Iyah Blewitt kick),3,24
7,2,FG,1:49,33 yd FG by Iyah Blewitt,3,27
8,2,FG,0:21,29 yd FG by Stephen Harris,6,27
10,3,TD,4:02,Darren Smallwood 3 yd run. (Iyah Blewitt kick),6,34
12,4,TD,3:19,Josh Garden 2 yd pass from Clifford Rove. (Stephen Harris kick),13,34
13,4,FG,0:17,45 yd FG by Iyah Blewitt,13,37
