,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,11:30,Wolfie McDummy 9 yd run. (Silver Banana kick),7,0
2,1,FG,4:27,32 yd FG by Silver Banana,10,0
3,1,FG,3:09,37 yd FG by Silver Banana,13,0
5,2,FG,14:55,43 yd FG by ForThe Brand,13,3
6,2,FG,11:20,52 yd FG by ForThe Brand,13,6
7,2,FG,8:13,36 yd FG by Silver Banana,16,6
8,2,TD,6:20,William Lim 3 yd pass from Wolfie McDummy. (Silver Banana kick),23,6
9,2,TD,0:49,Nickolas Kaepercolin (R) 22 yd pass from Chika Fujiwara. (ForThe Brand kick),23,13
11,3,TD,12:14,Chris Kross 5 yd pass from Chika Fujiwara. (ForThe Brand kick),23,20
12,3,TD,2:49,Ashley Owens 3 yd run. (Silver Banana kick),30,20
14,4,FG,10:56,30 yd FG by Silver Banana,33,20
15,4,TD,5:26,Chika Fujiwara 3 yd run. (ForThe Brand kick),33,27
