,Q,Score Type,Time Remaining,Play,AZ,PHI
1,1,FG,11:45,46 yd FG by Alex Frost,3,0
2,1,TD,11:29,Emondov Emoji 105 yd kickoff return. (Baxter Frost kick),3,7
4,2,TD,13:22,Nacho Varga 11 yd pass from Adriana Falconi. (Baxter Frost kick),3,14
5,2,FG,5:23,27 yd FG by Baxter Frost,3,17
6,2,FG,1:43,32 yd FG by Alex Frost,6,17
7,2,FG,0:08,24 yd FG by Baxter Frost,6,20
9,3,TD,2:31,Kazimir Oles 19 yd pass from Andrew Reese. (Alex Frost kick),13,20
11,4,FG,12:58,35 yd FG by Alex Frost,16,20
12,4,TD,8:04,Brock Landers 2 yd pass from Andrew Reese. (Alex Frost kick),23,20
13,4,FG,1:27,30 yd FG by Baxter Frost,23,23
15,5,TD,8:42,Sam Torenson 10 yd run.,23,29
