,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,TD,6:52,Seer Zephyrous 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),0,7
2,1,TD,3:22,Borkus Maximus III 7 yd run. (Alfredo Crisco kick),7,7
4,2,FG,14:14,43 yd FG by Alfredo Crisco,10,7
5,2,TD,10:32,None Sunnycursed 15 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),10,14
6,2,TD,6:29,Tyler Swift 21 yd pass from Borkus Maximus III. (Alfredo Crisco kick),17,14
7,2,FG,3:44,49 yd FG by Alex Dasistwirklichseinnachname,17,17
8,2,TD,0:35,Carlito Crush 29 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname XP no good),17,23
10,3,TD,9:00,Aksel Danielsson 1 yd run. (Alfredo Crisco kick),24,23
11,3,TD,6:43,None Sunnycursed 35 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),24,30
12,3,TD,3:32,Django Anoa'i 18 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),24,37
14,4,FG,7:56,47 yd FG by Alfredo Crisco,27,37
15,4,TD,2:32,Seer Zephyrous 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),27,44
