,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,FG,10:16,21 yd FG by Dougie Smalls,3,0
2,1,FG,1:47,29 yd FG by Dougie Smalls,6,0
4,2,FG,13:00,46 yd FG by J.J. Jay-Jaymison,6,3
5,2,TD,10:51,Jay Cue 1 yd run. (J.J. Jay-Jaymison XP no good),6,9
6,2,TD,5:45,Baby Yoda 2 yd run. (J.J. Jay-Jaymison kick),6,16
8,3,TD,7:47,Baby Yoda 4 yd run. (J.J. Jay-Jaymison kick),6,23
9,3,TD,2:53,Jay Cue 14 yd run. (J.J. Jay-Jaymison kick),6,30
11,4,FG,12:17,44 yd FG by J.J. Jay-Jaymison,6,33
12,4,FG,10:09,19 yd FG by J.J. Jay-Jaymison,6,36
13,4,TD,6:59,Acura Skyline 2 yd run. (Dougie Smalls kick),13,36
14,4,TD,4:09,Thomas Passmann 36 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),13,43
15,4,FG,0:07,18 yd FG by J.J. Jay-Jaymison,13,46
