,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,TD,12:50,Arbin Asipi III 57 yd interception return. (Alex Frost kick),0,7
2,1,TD,7:59,Marquise Brown 8 yd run. (Alex Frost kick),0,14
3,1,FG,2:45,40 yd FG by Alfredo Crisco,3,14
5,2,FG,11:26,31 yd FG by Alex Frost,3,17
6,2,FG,3:20,31 yd FG by Alfredo Crisco,6,17
8,3,TD,10:51,Errol Maddox 86 yd pass from Childish Gambino. (Alex Frost kick),6,24
9,3,FG,4:57,46 yd FG by Alex Frost,6,27
11,4,FG,14:54,42 yd FG by Alex Frost,6,30
12,4,TD,10:46,Tyler Swift 22 yd pass from Borkus Maximus III. (Alfredo Crisco kick),13,30
13,4,TD,7:30,Viggo Squanch 32 yd pass from Childish Gambino. (Alex Frost kick),13,37
14,4,TD,5:52,Viggo Squanch 5 yd pass from Childish Gambino. (Alex Frost kick),13,44
15,4,TD,0:38,Stan Francisco 1 yd pass from Borkus Maximus III. (Alfredo Crisco kick),20,44
