Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Olsen, C.",SJS,8,85,10.6,19,1,13,19
"Jackson, A.",SJS,7,108,15.4,22,0,13,19
"Thomas-Fox, D.",SJS,5,84,16.8,33,0,13,19
"Batoff, R.",SJS,2,20,10,18,0,13,19
"Bot, B.",SJS,2,10,5,9,0,13,19
"Justice, T.",SJS,1,11,11,11,0,13,19
"Tyerucker, Q.",SJS,1,6,6,6,1,13,19
"Parker, J.",CHI,7,113,16.1,35,0,13,19
"O'Leary, S.",CHI,6,90,15,35,0,13,19
"James-Jones, S.",CHI,6,70,11.7,25,1,13,19
"Danielsson, A.",CHI,2,10,5,5,0,13,19
"Harp, D.",CHI,2,2,1,2,0,13,19
"Utler, J.",CHI,1,3,3,3,0,13,19
