,Q,Score Type,Time Remaining,Play,BAL,SAR
1,1,TD,10:48,Doug Howlett (R) 23 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),7,0
2,1,TD,4:57,Korbin Brown (R) 7 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),14,0
4,2,FG,11:42,42 yd FG by Datsum PhastBawls,17,0
5,2,SF,7:24,Dexter Banks II tackled for a safety.,19,0
7,3,TD,11:38,Mai Fukushu 2 yd run. (Datsum PhastBawls kick),26,0
8,3,TD,9:15,Running Back 2 yd run. (Jacob Small kick),26,7
9,3,TD,1:13,Korbin Brown (R) 23 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),33,7
11,4,TD,10:30,Korbin Brown (R) 25 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),40,7
12,4,TD,6:56,Rayne Gordon 26 yd pass from Dexter Banks II. (Jacob Small kick),40,14
13,4,TD,0:11,Rayne Gordon 33 yd pass from Dexter Banks II. (Jacob Small kick),40,21
