,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,7:01,Bradley Westfield 23 yd pass from Mike Boss. (Bradley Madlad kick),0,7
3,2,TD,14:49,Erlich Burnsman 1 yd run. (Bradley Madlad kick),0,14
4,2,TD,9:41,Erlich Burnsman 2 yd run. (Bradley Madlad kick),0,21
5,2,TD,4:12,Charles Arthur Chess 4 yd pass from King Bronko. (Dean Jackson kick),7,21
6,2,TD,1:19,Jordan Yates 54 yd pass from Mike Boss. (Bradley Madlad kick),7,28
8,3,TD,12:36,Jordan Yates 13 yd pass from Mike Boss. (Bradley Madlad kick),7,35
9,3,FG,9:11,18 yd FG by Dean Jackson,10,35
10,3,TD,6:22,Erlich Burnsman 9 yd pass from Mike Boss. (Bradley Madlad kick),10,42
12,4,TD,13:33,Reg Mackworthy 88 yd punt return. (Dean Jackson kick),17,42
13,4,FG,10:19,33 yd FG by Bradley Madlad,17,45
14,4,FG,6:01,37 yd FG by Bradley Madlad,17,48
15,4,TD,2:36,Budda Browning 4 yd pass from King Bronko. (Dean Jackson kick),24,48
