Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Enchant, E.",OCO,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Bavitz, I.",OCO,7,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Spector, M.",OCO,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Winchester, A.",OCO,6,0,1,0/0,2,0,0,0,"[0, 0, 0]"
"Fyodorovich, V.",OCO,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"King, J.",OCO,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Atwell, T.",OCO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Clegane, G.",OCO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sierra, R.",OCO,1,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Wozy, F.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Wright Jr, G.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ernston, H.",AZ,8,1,1,0/0,2,0,0,0,"[0, 0, 0]"
"Davis, A.",AZ,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hackett, A.",AZ,7,1,0,0/0,2,0,0,0,"[0, 0, 0]"
"Hayden, A.",AZ,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Dwyer, J.",AZ,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Stone, W.",AZ,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Morris, D.",AZ,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Floggity, J.",AZ,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Ramrio, M.",AZ,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Medved, E.",AZ,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
