Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Portman, N.",OCO,1,5,5,0
"Wright Jr, G.",OCO,1,0,0,0
"Crush, C.",OCO,0,0,7,0
"Ridley, D.",OCO,0,0,7,0
"Jones, F.",OCO,0,0,6,2
"Burnsman, E.",OCO,0,0,3,0
"Fisher, C.",OCO,0,0,3,0
"Clarke, E.",OCO,0,0,1,0
"Chess, C.",AZ,2,23,0,0
"Mackworthy, R.",AZ,1,15,2,1
"Bronko, K.",AZ,1,5,0,0
"Dwyer, J.",AZ,1,14,0,0
"Robotman, D.",AZ,0,0,7,0
"Robotman, A.",AZ,0,0,6,0
"Robotman, C.",AZ,0,0,6,0
"Robotman, B.",AZ,0,0,2,1
"Robotman, E.",AZ,0,0,1,0
"Wright, O.",AZ,0,0,0,1
