Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Valentine, V.",BAL,7,95,13.6,24,1,2,14
"Maddox, E.",BAL,7,89,12.7,26,1,2,14
"L'Alto, V.",BAL,7,54,7.7,24,1,2,14
"Nagasawa, Y.",BAL,6,47,7.8,11,0,2,14
"Brown, M.",BAL,3,18,6,9,0,2,14
"Harp, D.",BAL,2,2,1,2,0,2,14
"Adams, R.",OCO,6,101,16.8,42,0,2,14
"Sunnycursed, N.",OCO,5,105,21,34,1,2,14
"Crush, C.",OCO,5,86,17.2,43,2,2,14
"Anoa'i, D.",OCO,3,35,11.7,13,0,2,14
"McPoyal, G.",OCO,3,22,7.3,14,0,2,14
"Blaze, J.",OCO,2,10,5,7,1,2,14
"Zephyrous, S.",OCO,1,6,6,6,0,2,14
