,Q,Score Type,Time Remaining,Play,OCO,BAL
1,1,TD,9:50,Errol Maddox 26 yd pass from Childish Gambino. (Alex Frost kick),0,7
2,1,TD,5:46,Seer Zephyrous 3 yd run. (Adam Anderson kick),7,7
4,2,TD,12:15,Carlito Crush 10 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,7
5,2,TD,8:07,Marquise Brown 1 yd run. (Alex Frost kick),14,14
6,2,TD,4:36,Carlito Crush 43 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),21,14
7,2,TD,3:13,Johnny Blaze 7 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),28,14
8,2,FG,0:00,35 yd FG by Alex Frost,28,17
10,3,TD,3:41,Verso L'Alto 7 yd pass from Childish Gambino. (Alex Frost kick),28,24
12,4,TD,13:25,None Sunnycursed 34 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),35,24
13,4,TD,1:47,Vinny Valentine 11 yd pass from Childish Gambino. (2pt conversion good),35,32
