,Q,Score Type,Time Remaining,Play,PHI,AUS
1,1,FG,9:11,47 yd FG by Jake Fencik (R),3,0
3,2,TD,14:26,Eddie Jeeta 15 yd pass from Easton Cole (C). (Pseudo QB (R) kick),3,7
4,2,FG,8:21,18 yd FG by Pseudo QB (R),3,10
5,2,TD,1:54,Donatello Arrabiata 23 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),10,10
6,2,FG,0:23,35 yd FG by Pseudo QB (R),10,13
8,3,TD,7:57,None Videl-San (R) 20 yd pass from Easton Cole (C). (Pseudo QB (R) kick),10,20
9,3,TD,3:35,Flash Panda 10 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),17,20
10,3,FG,2:16,34 yd FG by Jake Fencik (R),20,20
12,4,TD,12:30,Zoe Watts (R) 1 yd run. (Pseudo QB (R) kick),20,27
13,4,TD,9:17,Randy Vuxta 5 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),27,27
14,4,FG,0:29,32 yd FG by Jake Fencik (R),30,27
