,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,TD,10:21,Damian West 43 yd pass from King Bronko. (Dean Jackson kick),0,7
2,1,TD,0:00,Bailey Cook 10 yd pass from Mat Akselsen. (Joseph Lombardi kick),7,7
4,2,TD,6:00,Damian West 13 yd pass from King Bronko. (Dean Jackson kick),7,14
5,2,TD,1:25,Reg Mackworthy 22 yd pass from King Bronko. (Dean Jackson kick),7,21
7,3,TD,10:12,Allen Davis 6 yd pass from King Bronko. (Dean Jackson kick),7,28
8,3,TD,5:37,Bailey Cook 12 yd pass from Mat Akselsen. (Joseph Lombardi kick),14,28
9,3,TD,4:14,Dermot Lavelle 57 yd punt return. (Joseph Lombardi kick),21,28
10,3,TD,0:57,Damian West 17 yd pass from King Bronko. (Dean Jackson kick),21,35
12,4,TD,12:01,Mat Akselsen 1 yd run. (Joseph Lombardi kick),28,35
13,4,FG,9:36,42 yd FG by Dean Jackson,28,38
14,4,FG,0:38,25 yd FG by Dean Jackson,28,41
