,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,FG,12:06,30 yd FG by Kyle Corbett,0,3
2,1,SF,11:36,Mike Boss tackled for a safety.,0,5
3,1,FG,9:14,43 yd FG by Bradley Madlad,3,5
4,1,TD,3:43,Shane Weston 2 yd pass from Brad Pennington. (Kyle Corbett kick),3,12
6,2,FG,12:25,21 yd FG by Kyle Corbett,3,15
7,2,FG,9:18,30 yd FG by Bradley Madlad,6,15
8,2,TD,1:57,Terrell Brister 20 yd interception return. (Kyle Corbett kick),6,22
9,2,FG,0:12,54 yd FG by Bradley Madlad,9,22
11,3,TD,7:49,Carlito Crush 2 yd pass from Mike Boss. (Bradley Madlad kick),16,22
12,3,FG,1:34,19 yd FG by Kyle Corbett,16,25
14,4,FG,8:56,30 yd FG by Kyle Corbett,16,28
15,4,TD,0:00,Bradley Westfield 2 yd pass from Mike Boss. (Bradley Madlad kick),23,28
