,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,5:37,25 yd FG by ForThe Brand,0,3
2,1,FG,0:14,32 yd FG by Lefty Louis,3,3
4,2,FG,4:44,34 yd FG by Lefty Louis,6,3
5,2,SF,4:20,Chika Fujiwara tackled for a safety.,8,3
6,2,FG,0:48,24 yd FG by Lefty Louis,11,3
8,3,TD,11:43,Darrel Williams 2 yd run. (ForThe Brand kick),11,10
9,3,FG,7:56,36 yd FG by Lefty Louis,14,10
10,3,TD,5:05,Nickolas Kaepercolin (R) 23 yd pass from Chika Fujiwara. (ForThe Brand kick),14,17
11,3,TD,1:33,Fuzzy Dotson 5 yd run. (Lefty Louis kick),21,17
13,4,TD,12:19,Chika Fujiwara 4 yd run. (ForThe Brand kick),21,24
14,4,FG,7:32,30 yd FG by Lefty Louis,24,24
15,4,FG,3:16,33 yd FG by ForThe Brand,24,27
