Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Kroetch, D.",PHI,1,5,1,0
"North, F.",PHI,1,15,0,0
"Storm, B.",PHI,1,5,0,0
"Tucker, P.",PHI,1,5,0,0
"Tyler, J.",PHI,0,0,6,0
"DiMirio, P.",PHI,0,0,5,0
"Van Buren, M.",PHI,0,0,5,0
"Hayes, R.",PHI,0,0,2,0
"Arthur, C.",PHI,0,0,1,2
"Filmore, M.",PHI,0,0,1,1
"Amper, T.",YKW,1,15,4,1
"McPoyal, G.",YKW,1,11,2,0
"Kennedy, E.",YKW,1,5,1,0
"Cook, B.",YKW,1,5,0,0
"Lavelle, D.",YKW,1,5,0,0
"Ridley, W.",YKW,1,15,0,0
"Wozy, F.",YKW,1,15,0,0
"Harris Jr., F.",YKW,0,0,5,0
"Mushing, M.",YKW,0,0,5,0
"Rchon, A.",YKW,0,0,4,0
"Ones, B.",YKW,0,0,3,0
"Nuck, B.",YKW,0,0,2,0
"Pooky, S.",YKW,0,0,2,0
