Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Hendrix, M.",PHI,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Flock, R.",PHI,7,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Marmeladov, V.",PHI,6,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Rove, C.",PHI,5,0,0,0/0,4,1,0,1,"[0, 0, 0]"
"Bagwell, N.",PHI,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Davidson, D.",PHI,3,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tucker, P.",PHI,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Cushing, K.",PHI,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kamaka, E.",PHI,2,0,1,1/0,0,0,0,0,"[0, 0, 0]"
"Lee, J.",PHI,2,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Kane, M.",YKW,8,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Taylor, C.",YKW,8,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Carter, P.",YKW,6,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Tiernan, L.",YKW,5,1,0,0/0,1,0,0,0,"[0, 0, 0]"
"Hardrool, C.",YKW,4,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Medved, E.",YKW,4,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Lavelle, D.",YKW,3,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Ridley, W.",YKW,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",YKW,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Wozy, F.",YKW,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Akselsen, M.",YKW,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
