Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Harp, D.",CHI,9,92,10.2,20,1,11,19
"O'Leary, S.",CHI,7,91,13,24,0,11,19
"Parker, J.",CHI,6,89,14.8,27,1,11,19
"James-Jones, S.",CHI,4,61,15.2,31,0,11,19
"Danielsson, A.",CHI,3,48,16,36,0,11,19
"Utler, J.",CHI,2,21,10.5,19,0,11,19
"Jones, B.",NO,4,53,13.2,19,1,11,19
"McCormick, A.",NO,2,16,8,10,0,11,19
"Toriki, M.",NO,2,3,1.5,3,0,11,19
"Fyodorovich, V.",NO,1,15,15,15,0,11,19
"Valentine, V.",NO,1,11,11,11,0,11,19
"Gump, F.",NO,1,3,3,3,0,11,19
"Rodriguez, B.",NO,1,3,3,3,0,11,19
