,Q,Score Type,Time Remaining,Play,SJS,COL
1,1,TD,12:37,Kazimir Oles 34 yd pass from Joliet L. Christ. (Neo Donaldson kick),7,0
2,1,TD,8:34,Alvin Chipmunk 4 yd pass from Micycle McCormick. (Kyle Corbett kick),7,7
3,1,FG,5:28,30 yd FG by Kyle Corbett,7,10
5,2,TD,13:55,Balthazar Crindy 4 yd pass from Micycle McCormick. (Kyle Corbett kick),7,17
6,2,TD,0:33,Micycle McCormick 11 yd run. (Kyle Corbett kick),7,24
8,3,TD,10:14,Balthazar Crindy 9 yd pass from Micycle McCormick. (Kyle Corbett kick),7,31
9,3,TD,6:19,Ty Justice 5 yd pass from Joliet L. Christ. (Neo Donaldson kick),14,31
10,3,TD,2:18,Kazimir Oles 24 yd pass from Joliet L. Christ. (Neo Donaldson kick),21,31
12,4,TD,11:02,Jerrod Canton 5 yd run. (Neo Donaldson kick),28,31
13,4,TD,7:16,Mark Grau 17 yd pass from Micycle McCormick. (Kyle Corbett kick),28,38
14,4,TD,0:58,Kazimir Oles 8 yd pass from Joliet L. Christ. (Neo Donaldson XP no good),34,38
