Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Brew, S.",NO,2,20,12,0,14,23
"Rubbe, G.",NO,0,0,9,0,14,23
"Room, W.",NO,0,0,8,0,14,23
"McCormick, A.",NO,0,0,3,0,14,23
"Wolfcastle, R.",NO,0,0,3,0,14,23
"Ofyourlove, S.",NO,0,0,2,0,14,23
"Toriki, M.",NO,0,0,2,0,14,23
"Jimbo Jr., D.",NO,0,0,1,1,14,23
"Buckley, B.",AZ,1,5,2,0,14,23
"Unk, J.",AZ,1,8,1,1,14,23
"Miller, P.",AZ,1,15,0,0,14,23
"Yoda, B.",AZ,0,0,6,1,14,23
"Block, T.",AZ,0,0,2,0,14,23
"Arbage, G.",AZ,0,0,1,0,14,23
"Evans, H.",AZ,0,0,1,0,14,23
"Golladay, C.",AZ,0,0,1,0,14,23
