,Q,Score Type,Time Remaining,Play,OCO,COL
1,1,TD,12:57,Bradley Westfield 56 yd pass from Mike Boss. (Bradley Madlad kick),7,0
2,1,FG,8:43,20 yd FG by Bojo Kicksit,7,3
3,1,TD,8:23,Bradley Westfield 108 yd kickoff return. (Bradley Madlad kick),14,3
5,2,TD,11:06,Damian West 8 yd pass from Nicholas Pierno. (Bojo Kicksit kick),14,10
6,2,TD,9:00,Robert Phelps 30 yd pass from Mike Boss. (Bradley Madlad kick),21,10
7,2,FG,2:10,28 yd FG by Bojo Kicksit,21,13
8,2,FG,0:03,56 yd FG by Bojo Kicksit,21,16
10,3,FG,12:12,24 yd FG by Bradley Madlad,24,16
11,3,FG,5:24,38 yd FG by Bradley Madlad,27,16
12,3,TD,2:39,Robert Phelps 6 yd pass from Mike Boss. (Bradley Madlad kick),34,16
14,4,TD,13:10,Jaquan Young 2 yd pass from Nicholas Pierno. (Bojo Kicksit kick),34,23
15,4,FG,4:29,44 yd FG by Bradley Madlad,37,23
