,Q,Score Type,Time Remaining,Play,SAR,AZ
1,1,SF,14:02,Dexter Banks II tackled for a safety.,0,2
2,1,TD,9:59,Mathias Hanyadi 2 yd run. (J.J. Jay-Jaymison kick),0,9
3,1,FG,6:58,29 yd FG by Jacob Small,3,9
4,1,TD,3:47,Jay Cue (C) 64 yd run. (J.J. Jay-Jaymison kick),3,16
6,2,TD,6:02,Running Back 1 yd run. (Jacob Small kick),10,16
7,2,TD,2:03,Thomas Passmann 6 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),10,23
9,3,TD,6:28,Dexter Banks II 4 yd run. (Jacob Small kick),17,23
10,3,TD,3:44,Saba Donut 73 yd pass from Jay Cue (C). (J.J. Jay-Jaymison XP no good),17,29
11,3,TD,3:25,Cuco Clemente 93 yd kickoff return. (Jacob Small kick),24,29
13,4,TD,13:54,Michael Witheblock 13 yd pass from Dexter Banks II. (2pt conversion failed),30,29
14,4,TD,8:54,Tre'Darius J'Vathon (R) 57 yd pass from Dexter Banks II. (Jacob Small kick),37,29
