,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,4:39,Jah Bur'Berry 2 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),7,0
3,2,FG,13:24,36 yd FG by Alex Dasistwirklichseinnachname,7,3
4,2,TD,2:02,Hugh Mongo 21 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,10
6,3,TD,8:17,Baby Yoda (R) 2 yd run. (J.J. Jay-Jaymison kick),14,10
7,3,FG,3:38,31 yd FG by Alex Dasistwirklichseinnachname,14,13
8,3,TD,1:49,Saba Donut 9 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),21,13
10,4,FG,12:14,29 yd FG by Alex Dasistwirklichseinnachname,21,16
11,4,FG,6:31,26 yd FG by J.J. Jay-Jaymison,24,16
12,4,TD,2:48,Ludicolo Bigby 4 yd run. (2pt conversion good),24,24
14,5,TD,0:36,Future Trunks 12 yd pass from Franklin Armstrong.,24,30
