,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,11:24,Garfield Despacito Jr. (C) 1 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,6:47,Mike Rotchburns (R) 2 yd run. (Lefty Louis kick),7,7
4,2,FG,5:47,42 yd FG by Lefty Louis,7,10
5,2,FG,3:05,42 yd FG by Alex Dasistwirklichseinnachname,10,10
7,3,FG,11:04,47 yd FG by Lefty Louis,10,13
8,3,TD,8:37,Garfield Despacito Jr. (C) 1 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname XP no good),16,13
9,3,TD,5:06,Adam Spencer 23 yd pass from Ben Slothlisberger. (Lefty Louis kick),16,20
10,3,TD,4:06,Marcella Toriki (C) 1 yd pass from Ben Slothlisberger. (Lefty Louis kick),16,27
11,3,TD,0:43,Garfield Despacito Jr. (C) 42 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname XP no good),22,27
13,4,TD,7:43,Ed Barker 10 yd pass from Ben Slothlisberger. (Lefty Louis kick),22,34
