,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,7:53,Morgan Marshall 4 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),0,7
2,1,FG,2:17,35 yd FG by Alex Frost,3,7
4,2,TD,12:51,Nate Swift 35 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),3,14
5,2,TD,5:03,Brad Pennington 34 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),3,21
6,2,TD,2:16,Josh Parker 41 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),3,28
7,2,FG,0:23,26 yd FG by Stephen Harris Jr,3,31
9,3,FG,10:13,33 yd FG by Alex Frost,6,31
11,4,FG,14:53,36 yd FG by Alex Frost,9,31
12,4,TD,12:07,Danny Grithead 27 yd interception return. (Stephen Harris Jr kick),9,38
13,4,TD,8:54,Josh Parker 40 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),9,45
14,4,FG,5:01,32 yd FG by Alex Frost,12,45
15,4,TD,1:31,Stan Francisco 1 yd run. (Alex Frost kick),19,45
