,Q,Score Type,Time Remaining,Play,AZ,PHI
1,1,FG,11:30,47 yd FG by Stephen Harris,0,3
2,1,FG,11:08,35 yd FG by Stephen Harris,0,6
3,1,FG,7:46,40 yd FG by Dean Jackson,3,6
4,1,TD,2:41,Josh Garden 2 yd pass from Tyler Oles. (Stephen Harris kick),3,13
5,1,TD,0:49,Josh Garden 15 yd pass from Tyler Oles. (Stephen Harris kick),3,20
7,2,TD,12:33,Fresh Booter 3 yd pass from King Bronko. (Dean Jackson kick),10,20
8,2,FG,9:58,36 yd FG by Stephen Harris,10,23
9,2,FG,6:25,21 yd FG by Dean Jackson,13,23
10,2,FG,2:28,35 yd FG by Stephen Harris,13,26
12,3,FG,6:13,33 yd FG by Dean Jackson,16,26
13,3,TD,4:14,Josh Garden 38 yd pass from Tyler Oles. (Stephen Harris kick),16,33
15,4,FG,14:13,30 yd FG by Dean Jackson,19,33
16,4,TD,13:44,Jogn Floggity 51 yd interception return. (Dean Jackson kick),26,33
17,4,TD,8:01,Fox North 5 yd pass from Tyler Oles. (Stephen Harris kick),26,40
18,4,TD,0:52,Omar Wright 15 yd pass from King Bronko. (Dean Jackson kick),33,40
