,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,TD,9:21,Connor Tanner 8 yd pass from Chris Orosz. (Iyah Blewitt kick),0,7
2,1,TD,4:24,Allen Davis 4 yd pass from King Bronko. (Dean Jackson kick),7,7
4,2,TD,11:25,Mayran Jackson 19 yd pass from Chris Orosz. (Iyah Blewitt XP no good),7,13
5,2,FG,1:10,26 yd FG by Dean Jackson,10,13
6,2,FG,0:15,55 yd FG by Dean Jackson,13,13
8,3,FG,7:43,41 yd FG by Iyah Blewitt,13,16
9,3,TD,4:36,Charles Arthur Chess 7 yd pass from King Bronko. (Dean Jackson kick),20,16
11,4,FG,14:32,45 yd FG by Dean Jackson,23,16
12,4,TD,10:20,Darren Smallwood 8 yd pass from Chris Orosz. (Iyah Blewitt XP no good),23,22
13,4,TD,5:57,Allen Davis 25 yd pass from King Bronko. (Dean Jackson kick),30,22
