Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Dillmiballs, F.",SAR,12,1,0,0,0,0,0,0,0,0,0,0,14,24
"Beat, N.",SAR,8,0,1,0,0,0,0,0,0,0,0,0,14,24
"Nkiah, J.",SAR,8,0,0,1,1,0,0,0,0,0,0,0,14,24
"Karpaasi, M.",SAR,7,4,0,0,0,0,0,1,1,0,0,0,14,24
"Adams, X.",SAR,6,0,0,2,0,0,0,0,0,0,0,0,14,24
"Richards, E.",SAR,6,0,0,0,0,0,0,0,0,0,0,0,14,24
"Mango-Panda, H.",SAR,5,1,1,0,0,0,0,0,0,0,0,0,14,24
"Clemente, C.",SAR,4,2,0,0,0,0,0,0,0,0,0,0,14,24
"Edd, B.",SAR,3,0,1,0,0,0,0,0,0,0,0,0,14,24
"Knight, L.",SAR,3,0,0,2,0,0,0,0,0,0,0,0,14,24
"Goku, S.",SAR,1,0,0,0,0,0,0,0,0,0,0,0,14,24
"Purchase, L.",COL,8,0,0,3,1,0,0,0,0,0,0,0,14,24
"Stephens, W.",COL,7,0,0,3,0,0,0,0,0,0,0,0,14,24
"Parker, P.",COL,5,0,1,1,1,0,0,0,0,0,0,0,14,24
"Sly, G.",COL,5,0,0,1,1,0,0,0,1,0,0,0,14,24
"Blackstone, I.",COL,4,3,0,0,0,0,0,1,1,0,0,0,14,24
"Sanchez, I.",COL,4,0,0,0,0,0,0,0,0,0,0,0,14,24
"Thumper, B.",COL,4,0,1,0,0,0,0,1,0,0,0,0,14,24
"de Pengu, A.",COL,3,0,1,0,0,0,0,0,0,0,0,0,14,24
"Gabagool, T.",COL,3,0,0,0,0,0,0,0,0,0,0,0,14,24
"Kirkby, T.",COL,3,0,1,0,0,0,0,0,0,0,0,0,14,24
"Scott, R.",COL,3,0,0,0,0,0,0,0,0,0,0,0,14,24
