,Q,Score Type,Time Remaining,Play,COL,SAR
1,1,FG,12:12,38 yd FG by Silver Banana,3,0
2,1,FG,9:50,46 yd FG by Silver Banana,6,0
3,1,TD,7:19,Jackson Kingston 5 yd pass from Wolfie McDummy. (Silver Banana kick),13,0
4,1,TD,5:19,Raphtalia Chan 1 yd run. (Jacob Small kick),13,7
6,2,TD,12:59,William Lim 23 yd pass from Wolfie McDummy. (Silver Banana kick),20,7
7,2,FG,8:29,42 yd FG by Jacob Small,20,10
8,2,TD,2:40,Leeroy Jenkins (R) 10 yd pass from Wolfie McDummy. (Silver Banana kick),27,10
9,2,TD,0:18,Running Back 11 yd pass from Dexter Banks II. (Jacob Small kick),27,17
11,3,TD,9:42,James Angler 30 yd pass from Dexter Banks II. (Jacob Small kick),27,24
12,3,TD,4:35,Ashley Owens 2 yd run. (Silver Banana kick),34,24
13,3,TD,0:49,Raphtalia Chan 2 yd run. (Jacob Small kick),34,31
15,4,TD,8:27,William Lim 1 yd pass from Wolfie McDummy. (Silver Banana kick),41,31
