,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,FG,10:31,28 yd FG by Venus Powers,3,0
2,1,TD,3:13,Nacho Varga 29 yd pass from Brock Phoenix. (Venus Powers kick),10,0
4,2,FG,14:16,36 yd FG by Silver Banana (R),10,3
5,2,FG,8:29,35 yd FG by Venus Powers,13,3
6,2,TD,4:57,James Bishop 10 yd pass from Wolfie McDummy. (Silver Banana (R) kick),13,10
7,2,FG,0:20,29 yd FG by Venus Powers,16,10
9,3,TD,9:47,Sam Torenson 7 yd run. (Venus Powers kick),23,10
10,3,FG,7:29,39 yd FG by Silver Banana (R),23,13
11,3,FG,1:28,32 yd FG by Venus Powers,26,13
13,4,TD,9:34,Wolfie McDummy 1 yd run. (Silver Banana (R) kick),26,20
