,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,TD,9:28,Declan Harp 2 yd pass from Ryan Applehort. (Turk Turkleton kick),7,0
2,1,TD,3:34,Darren Smallwood 1 yd run. (Beat Meoff kick),7,7
3,1,TD,2:19,Vladimir Fyodorovich 50 yd punt return. (Beat Meoff kick),7,14
5,2,TD,14:32,Owen Taylor 2 yd run. (Turk Turkleton kick),14,14
6,2,FG,7:18,36 yd FG by Turk Turkleton,17,14
7,2,TD,0:08,Vladimir Fyodorovich 29 yd pass from Borkus Maximus III. (Beat Meoff kick),17,21
9,3,FG,7:22,27 yd FG by Turk Turkleton,20,21
10,3,TD,1:46,Vladimir Fyodorovich 12 yd pass from Borkus Maximus III. (Beat Meoff kick),20,28
11,3,TD,0:00,Vinny Valentine 21 yd pass from Ryan Applehort. (Turk Turkleton kick),27,28
13,4,TD,9:44,Verso L'Alto 1 yd pass from Ryan Applehort. (2pt conversion failed),33,28
14,4,TD,4:37,Vladimir Fyodorovich 7 yd pass from Borkus Maximus III. (2pt conversion good),33,36
15,4,FG,1:47,37 yd FG by Turk Turkleton,36,36
17,5,TD,1:44,Darren Smallwood 6 yd pass from Borkus Maximus III.,36,42
