Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"O'Sullivan, J.",NO,11,1,0,0/0,1,0,0,0,"[0, 0, 0]"
"Keita, T.",NO,10,0,1,0/1,2,0,0,0,"[0, 0, 0]"
"Mills, B.",NO,9,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Oakes, B.",NO,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Fyodorovich, V.",NO,8,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Bayley, B.",NO,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Harrison, W.",NO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"King, G.",NO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rax, L.",NO,2,0,1,1/0,0,0,0,0,"[0, 0, 0]"
"Askins, J.",NO,1,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Blocksdale, A.",BAL,11,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Joshua, C.",BAL,11,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,11,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Arnold, D.",BAL,9,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Oats, D.",BAL,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Willie, T.",BAL,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Mbanefo, K.",BAL,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Gambino, C.",BAL,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Fletcher, G.",BAL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Asipi Jr., A.",BAL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
