Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rucker, F.",SJS,0,0,6,0
"Tacktheritrix, J.",SJS,0,0,5,0
"McKoutchie, M.",SJS,0,0,4,0
"Jahelpme, H.",SJS,0,0,3,0
"Orosz, C.",SJS,0,0,2,1
"Bot, B.",SJS,0,0,2,0
"Brannigan, Z.",SJS,0,0,2,0
"Canton, J.",SJS,0,0,2,0
"Probincrux III, D.",SJS,0,0,2,0
"Boija, F.",PHI,2,10,1,0
"Tyler, J.",PHI,1,15,6,0
"Van Buren, M.",PHI,1,5,3,0
"von Matt, J.",PHI,1,15,0,0
"Fillmore, M.",PHI,0,0,4,0
"Arthur, C.",PHI,0,0,3,0
"Ansong, L.",PHI,0,0,1,0
"Hayes, R.",PHI,0,0,1,0
