Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Castle, S.",SJS,6,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Troyski, X.",SJS,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Pennington, C.",SJS,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Pennington, T.",SJS,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sackerman, F.",SJS,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Staley, T.",SJS,3,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Deringer, K.",SJS,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Riposte, F.",SJS,1,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Brannigan, Z.",SJS,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Christ, J.",SJS,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Becker, K.",PHI,10,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Cox III, J.",PHI,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Saul, C.",PHI,9,0,1,2/0,0,0,0,0,"[0, 0, 0]"
"Barnes, B.",PHI,6,0,0,1/0,3,1,0,1,"[0, 0, 0]"
"Steele, C.",PHI,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Garnett, L.",PHI,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Cheese Jr., D.",PHI,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Smyles, L.",PHI,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Morley, R.",PHI,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kalilmoku, I.",PHI,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Beard, M.",PHI,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
