Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Robinson, M.",BAL,1,10,1,0
"Vincent, M.",BAL,1,5,0,0
"Pancake, P.",BAL,0,0,6,1
"Lee, B.",BAL,0,0,5,0
"Stone, W.",BAL,0,0,4,1
"Koch, D.",BAL,0,0,4,0
"Blocksdale, A.",BAL,0,0,3,0
"Farlane, D.",BAL,0,0,3,0
"Piper, W.",BAL,0,0,1,0
"Sanderson, J.",BAL,0,0,1,0
"Floggity, J.",YKW,1,5,1,0
"Boggs, B.",YKW,1,5,0,0
"Kane, M.",YKW,1,10,0,0
"Shelton, L.",YKW,1,5,0,0
"James, M.",YKW,0,0,2,2
"Smith, T.",YKW,0,0,1,1
"Akselsen, M.",YKW,0,0,1,0
"Jones, J.",YKW,0,0,1,0
"Kamby, J.",YKW,0,0,1,0
"Maddox, R.",YKW,0,0,1,0
"Kennedy, E.",YKW,0,0,0,1
