Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Harrison, S.",BAL,13,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Wright, J.",BAL,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Boom, J.",BAL,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Broadway, E.",BAL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,4,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Metas, B.",BAL,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Turner, D.",BAL,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Masvidal, J.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Taylor, O.",BAL,1,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Reyes, R.",BAL,0,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Hackett, A.",YKW,12,0,1,1/0,1,0,0,0,"[0, 0, 0]"
"Hansen, A.",YKW,10,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Cushing, K.",YKW,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kane, M.",YKW,7,2,0,0/0,1,1,0,0,"[0, 0, 0]"
"Shelton, L.",YKW,6,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Boggs, B.",YKW,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lavelle, D.",YKW,5,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Skidmarks, S.",YKW,5,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Cutter, D.",YKW,4,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Novel, L.",YKW,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Spearhead, J.",YKW,2,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Bjornsson, B.",YKW,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
