Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Joestar, J.",OCO,11,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Jones, D.",OCO,6,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Scott, R.",OCO,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Vegeta, P.",OCO,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Biggums, T.",OCO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Bob, B.",OCO,3,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,7,26
"Booker, B.",OCO,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Tank, G.",OCO,3,2,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Wheezer, C.",OCO,3,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Abernathy, K.",OCO,2,0,0,0/0,3,1,0,0,0/0/0,0,0,0,0,7,26
"Leaking, R.",OCO,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"de Pengu, A.",COL,10,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"FootballLeague, N.",COL,8,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,7,26
"Drake, J.",COL,7,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Smoothie, E.",COL,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Edd, B.",COL,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"McFredbeard, R.",COL,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Murder-Moose, M.",COL,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Ruschmann, A.",COL,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Vuxta, R.",COL,3,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,7,26
"Blackstone, I.",COL,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Purchase, L.",COL,1,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
