,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,TD,11:27,Owen Taylor 1 yd run. (Turk Turkleton kick),0,7
2,1,TD,11:07,Tyler Oles 99 yd kickoff return. (Stephen Harris kick),7,7
3,1,FG,7:45,59 yd FG by Turk Turkleton,7,10
4,1,TD,2:37,Damien Kroetch 1 yd run. (Stephen Harris kick),14,10
6,2,TD,10:08,Fox North 17 yd pass from Clifford Rove. (Stephen Harris kick),21,10
7,2,TD,5:26,Cooper Christmas 6 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,17
8,2,TD,5:09,Damien Kroetch 101 yd kickoff return. (Stephen Harris kick),28,17
10,3,TD,4:02,Dental Dam 6 yd fumble return. (Turk Turkleton kick),28,24
12,4,TD,13:50,Kieran O'Connell 3 yd run. (Stephen Harris kick),35,24
13,4,FG,8:11,43 yd FG by Turk Turkleton,35,27
14,4,TD,1:23,Brian Wheat 4 yd pass from Avon Blocksdale. (2pt conversion failed),35,33
