Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Schneider, D.",OCO,7,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Grievous, L.",OCO,6,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Ramsey Jr., G.",OCO,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,4,0,1,1/1,0,0,0,0,"[0, 0, 0]"
"Showbiz, G.",OCO,4,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Hobbs, S.",OCO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lattimer, A.",OCO,3,2,1,0/0,0,0,0,0,"[0, 0, 0]"
"Mbanefo, K.",OCO,3,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,3,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Rice, J.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Deringer, K.",SJS,11,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Pennington, C.",SJS,9,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Tell, W.",SJS,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Brackenridge, T.",SJS,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Pennington, T.",SJS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Staley, T.",SJS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Methane, D.",SJS,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sackerman, F.",SJS,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Riposte, F.",SJS,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
