Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Sakura, K.",YKW,7,110,15.7,40,0,14,24
"Rechs, Z.",YKW,4,36,9,11,0,14,24
"Jackson, A.",YKW,4,30,7.5,14,0,14,24
"Lee, M.",YKW,2,36,18,21,0,14,24
"Cash Jr., S.",YKW,1,19,19,19,0,14,24
"Skyline, A.",YKW,1,8,8,8,0,14,24
"Hanyadi, M.",YKW,1,0,0,0,0,14,24
"O'Leary, S.",CHI,6,93,15.5,30,1,14,24
"Scabbia, L.",CHI,5,58,11.6,17,0,14,24
"Rodriguez, B.",CHI,4,39,9.8,15,0,14,24
"Yoda, B.",CHI,4,19,4.8,7,1,14,24
"Tirtawidjaja, J.",CHI,2,33,16.5,25,0,14,24
"Hayes, V.",CHI,2,24,12,12,0,14,24
"Gelbman, T.",CHI,1,9,9,9,0,14,24
