Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Pak, Y.",OCO,1,5,2,0,12,18
"Pitcher, A.",OCO,1,5,1,0,12,18
"Reed, A.",OCO,1,15,0,0,12,18
"Johns, A.",OCO,0,0,5,0,12,18
"Harrison, H.",OCO,0,0,3,0,12,18
"Tony, P.",OCO,0,0,2,0,12,18
"Blaze, J.",OCO,0,0,1,0,12,18
"Wokkenfuss, G.",OCO,0,0,1,0,12,18
"Jackson, A.",CHI,2,30,0,0,12,18
"Sandburg, C.",CHI,1,10,4,1,12,18
"Bright, C.",CHI,1,5,4,0,12,18
"Utler, J.",CHI,1,5,2,0,12,18
"Ford Lalatina, D.",CHI,1,5,1,0,12,18
"Dugnutt, B.",CHI,1,5,0,0,12,18
"Gordon, B.",CHI,0,0,5,0,12,18
"177013, G.",CHI,0,0,4,1,12,18
"Brown, M.",CHI,0,0,3,0,12,18
"Harp, D.",CHI,0,0,1,0,12,18
