Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Mongo, H.",OCO,4,67,16.8,36,0,12,18
"Blaze, J.",OCO,4,60,15,41,0,12,18
"Banks II, D.",OCO,4,33,8.2,13,2,12,18
"Pitcher, A.",OCO,4,13,3.2,5,0,12,18
"Reed, A.",OCO,2,13,6.5,9,0,12,18
"Allan, C.",OCO,2,7,3.5,4,0,12,18
"Nagasawa, Y.",OCO,1,9,9,9,0,12,18
"Jackson, A.",CHI,6,104,17.3,27,0,12,18
"Parker, J.",CHI,5,93,18.6,41,0,12,18
"Harp, D.",CHI,5,27,5.4,9,0,12,18
"Danielsson, A.",CHI,3,16,5.3,7,0,12,18
"Brown, M.",CHI,1,6,6,6,0,12,18
"Utler, J.",CHI,1,2,2,2,0,12,18
