,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,10:52,John Wachter 9 yd pass from King Bronko. (Dean Jackson kick),0,7
2,1,TD,6:29,Charles Arthur Chess 15 yd pass from King Bronko. (Dean Jackson kick),0,14
3,1,TD,2:23,Charles Arthur Chess 7 yd pass from King Bronko. (Dean Jackson XP no good),0,20
5,2,TD,13:54,Jordan Yates 4 yd run. (Bradley Madlad kick),7,20
6,2,TD,5:34,Fresh Booter 4 yd pass from King Bronko. (Dean Jackson kick),7,27
7,2,FG,3:57,22 yd FG by Dean Jackson,7,30
9,3,TD,13:26,Bradley Westfield 16 yd pass from Mike Boss. (Bradley Madlad kick),14,30
10,3,TD,7:41,Tegan Atwell 20 yd pass from Mike Boss. (Bradley Madlad kick),21,30
11,3,TD,2:09,Robert Phelps 1 yd pass from Mike Boss. (Bradley Madlad kick),28,30
13,4,FG,13:47,50 yd FG by Dean Jackson,28,33
14,4,FG,10:19,23 yd FG by Bradley Madlad,31,33
15,4,FG,4:17,40 yd FG by Dean Jackson,31,36
